Case ID,Case,Created at,Folder,Scenarios (Step),State
12240,Sign up via email & password,2024-02-13T02:49:32.400Z,Signup,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup Rejection for Improperly Formatted Email Address
  Given the user is on the signup page
  When the user enters ""&lt;invalidEmail&gt;"" as the email address
  Then the form cannot be submitted
  And a message about the improper email format should be displayed

  Examples: 
    | invalidEmail        |
    | plaintext           |
    | @no-user.com        |
    | user@.com.my        |
    | user.name@domain    |
    | user#@domain.co.in  |
    | user@domain..com    |</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Signup with Duplicate Email
  Given the user is on the signup page
  When the user attempts to signup with an email that already has an account
  And submits the signup form
  Then the signup should be rejected
  And a message to contact support should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Viewing Terms of Service during Signup
  Given the user is on the signup page
  When the user clicks on the Terms of Service link
  Then the Terms of Service are displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Switching to Login from the Signup Flow
  Given the user is on the signup page
  When the user clicks on the login link
  Then the login page should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup with Weak Password Rejection
  Given the user has successfully validated the email
  And is now setting name and password
  When the user enters a weak password
  Then the signup form cannot be submitted
  And a message about password requirements should be displayed</code></pre>",Active
75766,Signup via SSO,2024-02-27T21:30:23.402Z,Signup,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup via Google SSO
	Given the user is on the signup page
	When the user chooses the Google SSO provider
	And the user chooses an email that is not associated with an account
	And the user grants permissions
	Then a new user account should be created</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup via Apple SSO
	Given the user is on the signup page
	When the user chooses the Apple SSO provider
	And the user chooses an email that is not associated with an account
	And the user grants permissions
	Then a new user account should be created</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Signup via Google SSO with Duplicate Email
	Given the user is on the signup page
	When the user chooses Google SSO provider
	And the user chooses an email that is associated with an account
	And the user grants permissions
	Then the signup should be rejected
	And a message indicating the email is already used should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Signup via Apple SSO with Duplicate Email
	Given the user is on the signup page
	When the user chooses Apple SSO provider
	And the user chooses an email that is associated with an account
	And the user grants permissions
	Then the signup should be rejected
	And a message indicating the email is already used should be displayed</code></pre>",Active
789379,Driver created for first user in company,2024-10-23T06:10:23.152Z,Signup,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Driver created for sign up which created a new company
	Given a new company is created
	When a user signs up via any method
	Then a driver is automatically created for the same user
	And no invite is sent</code></pre>",Active
1532872,Verify email ownership,2025-09-05T14:54:21.173Z,Signup,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Successful email verification  
	    Given user submits a valid email address to sign up with
	    And  receives a verification code
	    When the user submits the correct verification code within its validity window
	    Then the user can proceed to setting User Name and Password
	    And gain access to the product afterwards
	    
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User enters an incorrect verification code
	Given the verification code is invalid
	When the user submits the code 
	Then the system rejects the attempt
	And gives user feedback about the failed attempt
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Contact support if verification fails
	Given the submitted code was expired or invalid
	And the verification fails
	Then the user can contact support directly from the failure feedback

 </code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Verification code expires
	Given the validity period of the code has passed
	When the user submits that code
	Then the system rejects the code
	And gives user feedback about the failed attempt
	    </code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Resend Verification Code 
	Given the user has already received a verification code during signup
	And there is no ongoing cooldown period
	When the user requests a new verification code 
	Then a new verification code is generated and sent to the user 
	And all previously issued codes are invalidated
	And the user is shown feedback indicating the remaining cooldown time</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Request new verification code during cooldown period
	Given the user has requested a new verification code 
	When the user attempts to request another code before the cooldown completes 
	Then the user is not allowed to request another code A
</code></pre>",Active
14,User can login to app,2024-01-31T03:06:04.902Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Successful login
	Given user has signed up
	When the user attempts to login with valid credentials
	Then the user is logged into the application
	And is navigated to the default workspace and routes page</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Redirect to app when already authenticated
	Given a user has already logged in
	And their login has not yet expired
	When they navigate to the login page
	Then they are redirected to the routes page and default workspace</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User redirects to where they navigated to when interrupted by login flow
	Given a user is not logged in
    And the user tries to visit a specific '&lt;protected_view&gt;'
    When the user logs in
    Then the user is redirected to the specific requested view
    
 Examples:
    | protected_view |
    | drivers page   |
    | routes page    |
    | settings page  |</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Tracking login event
	Given a user is on the login page
	When a user sucessfully logs in
	Then a 'Signed In' event should be tracked
	And their user profile should be updated with their latest user information
	And their company profile should be updated with the latest company information</code></pre>",Active
15,Unauthenticated users cannot access app,2024-01-31T03:06:04.905Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unsuccessful login
	When the user attempts to login with valid credentials
	Then the user is presented with an error message that they cannot login due to invalid credentials</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Redirect to login when unauthenticated
	Given a user has already logged in
	And their login has expired
	When they navigate to the application
	Then they are redirected to the login page</code></pre>",Active
12242,User can switch to create account instead,2024-02-13T02:55:39.584Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Switching to Signup from the Login Flow
  Given the user is on the login page
  When the user clicks on the signup link
  Then the signup page should be displayed</code></pre>",Active
53242,User is redirected by the system to the applicable view,2024-02-20T17:35:24.095Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Default to last viewed workspace and date
    Given a user has viewed routes on a specific date
    And has closed the application
    When the user visits the application without specifying a path
    Then the user is taken to their last viewed workspace and last viewed date</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Fallback to oldest workspace and today's date
    Given a user is logged in and their oldest workspace has no routes
    And the user has no last viewed workspace or date
    When the user visits the application without specifying a URL
    Then the user is redirected to their oldest workspace on today's date</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Logged in user with no specified workspace or date
    Given a user is logged in and their oldest workspace has routes scheduled
    And the user has no last viewed workspace or date
    When the user visits the application without specifying a URL
    Then the user is redirected to their oldest workspace on the latest date with routes</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User in a workspace with no stored last viewed date
    Given the user has no stored last viewed date 
    When a user logs into a specific workspace
    Then the system falls back to the most recent date with routes in that workspace</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: No routes available on any date
    Given a user is logged in and in a specific workspace
    And there are no routes available on any date for the user's workspace
    When the system determines the routing
    Then the user is redirected to the default routing view on today's date</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Navigating to an exact workspace, date, and view via URL
    Given a user is logged in
    When the user navigates to an exact workspace, date, and view via URL
    Then the application takes the user to that exact workspace, date, and view</code></pre>",Active
75768,Login via SSO,2024-02-29T00:11:25.551Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Login via Google SSO 
	Given the user is on the login page 
	When the user chooses the Google SSO provider 
	And the user chooses an email that is associated with an account 
	And the user has already granted permissions 
	Then the user should be logged in</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Login via Apple SSO 
	Given the user is on the login page 
	When the user chooses the Apple SSO provider 
	And the user chooses an email that is associated with an account 
	And the user has already granted permissions 
	Then the user should be logged in</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Login via Google SSO if Account Does Not Exist 
	Given the user is on the login page 
	When the user chooses the Google SSO provider 
	And the user chooses an email that is not associated with an account 
	Then the login should be rejected 
	And a message indicating that login failed should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Login via Apple SSO if Account Does Not Exist 
	Given the user is on the login page 
	When the user chooses the Apple SSO provider 
	And the user chooses an email that is not associated with an account 
	Then the login should be rejected 
	And a message indicating that login failed should be displayed</code></pre>",Active
75772,User can logout,2024-03-01T00:09:43.936Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Logged out user can not access protected resources

	Given a user logs out
	When a user tries to access a 'protected resouce'
	Then the user should not be able to access the protected resource
	And should be redirected to the login page
	
	Examples:
    | Protected Resource | Example                            |
    | -------------------| ---------------------------------- |
    | Settings           | /settings                          |
    | Routes Page        | /workspace/{workspace_id}/routes   |
</code></pre>",Active
126972,User can go back to v2 from v3 login page,2024-03-26T00:48:37.615Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Going back to v2 login
	Given a user is on the v3 login page
	When they click on the affordance to go back to the old Routific
	Then they should be taken back to v2 login page</code></pre>",Active
1561534,Verify Email for existing users,2025-09-26T20:27:23.698Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unverified user cannot use web app
	Given a user is unverified
	When they log into the web app
	Then there will be a blocking modal prompting them to verify
	And they can request a verification code
	And they cannot access the app</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Existing user can verify email 
	Given a user is unverified
	And has a valid verification code
	When they log into the web app
	And input their verification code
	Then their account will be verified
	And they will be able to access the rest of the app</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unverified drivers can still access mobile
    Given a user is unverified
	When they log into the mobile app
    Then they can use the mobile app as normal</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unverified account can still use API integration
    Given an unverified user account
    And they see a blocking modal when they log in on the web app but don't verify
    Then they can use the API integration as normal</code></pre>",Active
1775709,Driver accidentally logging in will be guided,2026-01-06T21:26:45.674Z,Authentication,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Driver accidentally logging into web app
    Given a user with only driver permissions
    When they log into the web app
    Then we will show guidance to download and use the mobile app instead
    And there will be an explanation that if they need dispatcher access, they should reach out to their admin</code></pre>",Draft
16,Requesting password reset,2024-01-31T03:06:04.906Z,Password Reset,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reset password for a valid email
	Given a user has an account previously created
	When user requests a password reset with a valid email
	Then the user should receive an email with instructions to reset their password
	And the name of the sender should be 'Routific'
	And the user can reset their account's password by following the link in the email</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reset password for an invalid email
	When a user requests a password reset for an email not linked to any Routific account
	Then the user should not receive a password reset email</code></pre>",Active
20,Update password from reset page,2024-01-31T03:06:04.912Z,Password Reset,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Update password and login
	Given the user received a password reset email
	When the user follows the reset links and updates their password
	Then the user receives a success notification email
	And is able to login to the app using the new password</code></pre>",Active
1775708,Seeing my information on the account settings page,2026-01-06T21:19:11.262Z,Account Settings,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Navigating to the Accounts Settings page
  Given a user is logged in 
  When a user clicks on the ""Account Settings"" menu
  Then they will see their name, email, roles, and the company they belong to
  And a shortcut link to navigate to company settings</code></pre>",Active
