"Case ID","Case","Automation","Configurations","Created at","Created by","Description","Estimate","Expected","Folder","Forecast","Issues","Preconditions","Priority","Scenarios (Step)","State","Status (latest)","Status date","Steps (Expected)","Steps (Step)","Tags","Template","Updated at","Updated by"
"12240","Sign up via email & password","No","","2024-02-13T02:49:32.400Z","Andrew Kwok","","","","Signup","","ROUT-9227,ROUT-9228","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup Rejection for Improperly Formatted Email Address
  Given the user is on the signup page
  When the user enters ""&lt;invalidEmail&gt;"" as the email address
  Then the form cannot be submitted
  And a message about the improper email format should be displayed

  Examples: 
    | invalidEmail        |
    | plaintext           |
    | @no-user.com        |
    | user@.com.my        |
    | user.name@domain    |
    | user#@domain.co.in  |
    | user@domain..com    |</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Signup with Duplicate Email
  Given the user is on the signup page
  When the user attempts to signup with an email that already has an account
  And submits the signup form
  Then the signup should be rejected
  And a message to contact support should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Viewing Terms of Service during Signup
  Given the user is on the signup page
  When the user clicks on the Terms of Service link
  Then the Terms of Service are displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Switching to Login from the Signup Flow
  Given the user is on the signup page
  When the user clicks on the login link
  Then the login page should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup with Weak Password Rejection
  Given the user has successfully validated the email
  And is now setting name and password
  When the user enters a weak password
  Then the signup form cannot be submitted
  And a message about password requirements should be displayed</code></pre>","Active","Passed","2025-12-19T21:21:14.573Z","","","","BDD Feature","2026-01-21T16:56:15.448Z","Jenya Farris"
"75766","Signup via SSO","No","","2024-02-27T21:30:23.402Z","Serena Tay","","","","Signup","","ROUT-8971,ROUT-9709","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup via Google SSO
	Given the user is on the signup page
	When the user chooses the Google SSO provider
	And the user chooses an email that is not associated with an account
	And the user grants permissions
	Then a new user account should be created</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Signup via Apple SSO
	Given the user is on the signup page
	When the user chooses the Apple SSO provider
	And the user chooses an email that is not associated with an account
	And the user grants permissions
	Then a new user account should be created</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Signup via Google SSO with Duplicate Email
	Given the user is on the signup page
	When the user chooses Google SSO provider
	And the user chooses an email that is associated with an account
	And the user grants permissions
	Then the signup should be rejected
	And a message indicating the email is already used should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Signup via Apple SSO with Duplicate Email
	Given the user is on the signup page
	When the user chooses Apple SSO provider
	And the user chooses an email that is associated with an account
	And the user grants permissions
	Then the signup should be rejected
	And a message indicating the email is already used should be displayed</code></pre>","Active","Passed","2025-12-19T21:26:01.097Z","","","","BDD Feature","2025-11-20T17:23:22.012Z","Teja Vajha"
"789379","Driver created for first user in company","No","","2024-10-23T06:10:23.152Z","Jamil","","","","Signup","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Driver created for sign up which created a new company
	Given a new company is created
	When a user signs up via any method
	Then a driver is automatically created for the same user
	And no invite is sent</code></pre>","Active","Passed","2025-08-06T21:24:24.874Z","","","","BDD Feature","2026-01-21T16:59:16.675Z","Jenya Farris"
"1532872","Verify email ownership","No","","2025-09-05T14:54:21.173Z","Jamil","","","","Signup","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Successful email verification  
	    Given user submits a valid email address to sign up with
	    And  receives a verification code
	    When the user submits the correct verification code within its validity window
	    Then the user can proceed to setting User Name and Password
	    And gain access to the product afterwards
	    
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User enters an incorrect verification code
	Given the verification code is invalid
	When the user submits the code 
	Then the system rejects the attempt
	And gives user feedback about the failed attempt
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Contact support if verification fails
	Given the submitted code was expired or invalid
	And the verification fails
	Then the user can contact support directly from the failure feedback

 </code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Verification code expires
	Given the validity period of the code has passed
	When the user submits that code
	Then the system rejects the code
	And gives user feedback about the failed attempt
	    </code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Resend Verification Code 
	Given the user has already received a verification code during signup
	And there is no ongoing cooldown period
	When the user requests a new verification code 
	Then a new verification code is generated and sent to the user 
	And all previously issued codes are invalidated
	And the user is shown feedback indicating the remaining cooldown time</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Request new verification code during cooldown period
	Given the user has requested a new verification code 
	When the user attempts to request another code before the cooldown completes 
	Then the user is not allowed to request another code A
</code></pre>","Active","Passed","2025-09-26T20:36:54.690Z","","","","BDD Feature","2025-09-10T19:49:25.753Z","Andrew Kwok"
"14","User can login to app","No","","2024-01-31T03:06:04.902Z","Andrew Kwok","","","","Authentication","","ROUT-9228,ROUT-9885","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Successful login
	Given user has signed up
	When the user attempts to login with valid credentials
	Then the user is logged into the application
	And is navigated to the default workspace and routes page</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Redirect to app when already authenticated
	Given a user has already logged in
	And their login has not yet expired
	When they navigate to the login page
	Then they are redirected to the routes page and default workspace</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User redirects to where they navigated to when interrupted by login flow
	Given a user is not logged in
    And the user tries to visit a specific '&lt;protected_view&gt;'
    When the user logs in
    Then the user is redirected to the specific requested view
    
 Examples:
    | protected_view |
    | drivers page   |
    | routes page    |
    | settings page  |</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Tracking login event
	Given a user is on the login page
	When a user sucessfully logs in
	Then a 'Signed In' event should be tracked
	And their user profile should be updated with their latest user information
	And their company profile should be updated with the latest company information</code></pre>","Active","Passed","2025-08-06T17:06:03.254Z","","","","BDD Feature","2025-11-20T17:27:29.321Z","Teja Vajha"
"15","Unauthenticated users cannot access app","No","","2024-01-31T03:06:04.905Z","Andrew Kwok","","","","Authentication","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unsuccessful login
	When the user attempts to login with valid credentials
	Then the user is presented with an error message that they cannot login due to invalid credentials</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Redirect to login when unauthenticated
	Given a user has already logged in
	And their login has expired
	When they navigate to the application
	Then they are redirected to the login page</code></pre>","Active","Passed","2025-08-06T17:06:42.636Z","","","","BDD Feature","2025-11-20T17:32:56.228Z","Teja Vajha"
"12242","User can switch to create account instead","No","","2024-02-13T02:55:39.584Z","Andrew Kwok","","","","Authentication","","ROUT-9227","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Switching to Signup from the Login Flow
  Given the user is on the login page
  When the user clicks on the signup link
  Then the signup page should be displayed</code></pre>","Active","Skipped","2025-08-06T17:07:18.034Z","","","","BDD Feature","2025-11-20T17:35:21.474Z","Teja Vajha"
"53242","User is redirected by the system to the applicable view","No","","2024-02-20T17:35:24.095Z","Nina","","","","Authentication","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Default to last viewed workspace and date
    Given a user has viewed routes on a specific date
    And has closed the application
    When the user visits the application without specifying a path
    Then the user is taken to their last viewed workspace and last viewed date</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Fallback to oldest workspace and today's date
    Given a user is logged in and their oldest workspace has no routes
    And the user has no last viewed workspace or date
    When the user visits the application without specifying a URL
    Then the user is redirected to their oldest workspace on today's date</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Logged in user with no specified workspace or date
    Given a user is logged in and their oldest workspace has routes scheduled
    And the user has no last viewed workspace or date
    When the user visits the application without specifying a URL
    Then the user is redirected to their oldest workspace on the latest date with routes</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User in a workspace with no stored last viewed date
    Given the user has no stored last viewed date 
    When a user logs into a specific workspace
    Then the system falls back to the most recent date with routes in that workspace</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: No routes available on any date
    Given a user is logged in and in a specific workspace
    And there are no routes available on any date for the user's workspace
    When the system determines the routing
    Then the user is redirected to the default routing view on today's date</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Navigating to an exact workspace, date, and view via URL
    Given a user is logged in
    When the user navigates to an exact workspace, date, and view via URL
    Then the application takes the user to that exact workspace, date, and view</code></pre>","Active","Passed","2025-07-28T19:44:30.360Z","","","","BDD Feature","2025-11-20T17:40:47.020Z","Teja Vajha"
"75768","Login via SSO","No","","2024-02-29T00:11:25.551Z","Peter Kemp","","","","Authentication","","ROUT-9708","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Login via Google SSO 
	Given the user is on the login page 
	When the user chooses the Google SSO provider 
	And the user chooses an email that is associated with an account 
	And the user has already granted permissions 
	Then the user should be logged in</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Login via Apple SSO 
	Given the user is on the login page 
	When the user chooses the Apple SSO provider 
	And the user chooses an email that is associated with an account 
	And the user has already granted permissions 
	Then the user should be logged in</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Login via Google SSO if Account Does Not Exist 
	Given the user is on the login page 
	When the user chooses the Google SSO provider 
	And the user chooses an email that is not associated with an account 
	Then the login should be rejected 
	And a message indicating that login failed should be displayed</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Rejecting Login via Apple SSO if Account Does Not Exist 
	Given the user is on the login page 
	When the user chooses the Apple SSO provider 
	And the user chooses an email that is not associated with an account 
	Then the login should be rejected 
	And a message indicating that login failed should be displayed</code></pre>","Active","Passed","2025-08-06T17:12:45.412Z","","","","BDD Feature","2025-11-20T17:41:27.476Z","Teja Vajha"
"75772","User can logout","No","","2024-03-01T00:09:43.936Z","Andrew Kwok","","","","Authentication","","ROUT-9791","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Logged out user can not access protected resources

	Given a user logs out
	When a user tries to access a 'protected resouce'
	Then the user should not be able to access the protected resource
	And should be redirected to the login page
	
	Examples:
    | Protected Resource | Example                            |
    | -------------------| ---------------------------------- |
    | Settings           | /settings                          |
    | Routes Page        | /workspace/{workspace_id}/routes   |
</code></pre>","Active","Passed","2025-07-28T19:44:30.360Z","","","","BDD Feature","2025-11-20T17:42:09.933Z","Teja Vajha"
